supplier_name,supplier_email,product_name,category,keywords,unit_description,pack_size,price_per_unit,typical_market_price,min_order_units,delivery_days,quality_rating,care_suitable,certifications,notes
Northgate Care Supplies,orders@example-northgate.test,Nitrile Examination Gloves (Powder-Free),PPE,gloves glove nitrile examination disposable hand ppe,glove,200,0.043,0.055,200,2,4.6,yes,EN 455 / CE marked,Latex-free. Sizes S-XL. Textured fingertips.
Meridian Medical Wholesale,orders@example-meridian.test,Nitrile Examination Gloves (Powder-Free),PPE,gloves glove nitrile examination disposable hand ppe,glove,100,0.049,0.055,300,1,4.7,yes,EN 455 / CE marked,Latex-free. Next-day delivery as standard.
ValueBulk Trade,sales@example-valuebulk.test,Latex Examination Gloves (Powdered),PPE,gloves glove latex examination disposable hand ppe,glove,100,0.028,0.055,500,4,2.1,no,CE marked,"Cheapest per glove, but latex and powdered - allergy and dermatitis risk in care settings."
Careline Direct,hello@example-careline.test,Nitrile Examination Gloves (Powder-Free),PPE,gloves glove nitrile examination disposable hand ppe,glove,200,0.038,0.055,1000,7,4.2,yes,EN 455 / CE marked,Bulk pricing. Longer lead time from central warehouse.
Sterling Nursing Supplies,orders@example-sterling.test,Nitrile Examination Gloves (Extra Strong),PPE,gloves glove nitrile examination disposable hand ppe strong,glove,100,0.061,0.055,200,3,4.9,yes,EN 455 / EN 374 chemical resistant,Heavier gauge for personal care and cleaning tasks.
Northgate Care Supplies,orders@example-northgate.test,Disposable Aprons on a Roll,PPE,apron aprons disposable plastic ppe,apron,200,0.031,0.042,400,2,4.4,yes,CE marked,Flat-packed roll. Blue or white.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Disposable Aprons on a Roll,PPE,apron aprons disposable plastic ppe,apron,200,0.027,0.042,600,3,4.1,yes,CE marked,Colour-coded rolls available for infection control zones.
ValueBulk Trade,sales@example-valuebulk.test,Disposable Aprons (Flat Pack),PPE,apron aprons disposable plastic ppe,apron,100,0.019,0.042,1000,6,2.4,yes,None listed,Thin gauge - tears reported in manual handling use.
Meridian Medical Wholesale,orders@example-meridian.test,Type IIR Surgical Face Masks,PPE,mask masks face surgical iir ppe respiratory,mask,50,0.052,0.068,200,1,4.7,yes,EN 14683 Type IIR,Fluid resistant. Ear loops.
Careline Direct,hello@example-careline.test,Type IIR Surgical Face Masks,PPE,mask masks face surgical iir ppe respiratory,mask,50,0.044,0.068,500,4,4.3,yes,EN 14683 Type IIR,Boxed 50s.
Sterling Nursing Supplies,orders@example-sterling.test,Continence Pads - Slip Maxi (Large),Continence,continence pads pad incontinence slip maxi brief,pad,28,0.61,0.78,112,3,4.8,yes,ISO 13485 / dermatologically tested,High absorbency 3400ml. Wetness indicator. Breathable side panels.
Northgate Care Supplies,orders@example-northgate.test,Continence Pads - Slip Maxi (Large),Continence,continence pads pad incontinence slip maxi brief,pad,28,0.58,0.78,84,2,4.5,yes,ISO 13485,Absorbency 3200ml. Wetness indicator.
ValueBulk Trade,sales@example-valuebulk.test,Continence Pads - Economy Slip,Continence,continence pads pad incontinence slip economy,pad,30,0.34,0.78,300,5,2.2,no,None listed,"Low absorbency, no wetness indicator. High leak and skin-integrity risk for immobile residents."
Careline Direct,hello@example-careline.test,Continence Pads - Slip Maxi (Large),Continence,continence pads pad incontinence slip maxi brief,pad,28,0.54,0.78,280,6,4.4,yes,ISO 13485,Absorbency 3100ml. Best price at pallet volume.
Meridian Medical Wholesale,orders@example-meridian.test,Continence Pads - Shaped Pad with Fixation Pants,Continence,continence pads pad incontinence shaped fixation,pad,30,0.49,0.62,120,2,4.6,yes,ISO 13485 / dermatologically tested,For residents with some continence. Includes fixation pants.
Sterling Nursing Supplies,orders@example-sterling.test,Bed Protection Sheets 60x90cm,Continence,bed pads sheet protection underpad mattress,sheet,30,0.28,0.37,120,3,4.7,yes,ISO 13485,Absorbent core with waterproof backing. 1400ml.
Northgate Care Supplies,orders@example-northgate.test,Bed Protection Sheets 60x90cm,Continence,bed pads sheet protection underpad mattress,sheet,25,0.31,0.37,100,2,4.4,yes,ISO 13485,Tuck-in wings available.
BrightPath Hygiene Ltd,orders@example-brightpath.test,Patient Wipes - Dry (Large),Hygiene,wipes wipe dry patient washcloth cleansing,wipe,100,0.021,0.029,500,2,4.5,yes,Dermatologically tested,Soft non-woven. For use with water or cleansing foam.
Careline Direct,hello@example-careline.test,Patient Wipes - Moist (Fragrance-Free),Hygiene,wipes wipe moist wet patient cleansing fragrance-free,wipe,80,0.034,0.045,320,3,4.8,yes,Dermatologically tested / pH balanced,Fragrance-free and alcohol-free. Suitable for fragile skin.
ValueBulk Trade,sales@example-valuebulk.test,Patient Wipes - Moist (Fresh Scent),Hygiene,wipes wipe moist wet patient cleansing scented,wipe,80,0.022,0.045,800,5,2.6,no,None listed,Perfumed and contains alcohol - not advised for elderly or broken skin.
Northgate Care Supplies,orders@example-northgate.test,Patient Wipes - Moist (Fragrance-Free),Hygiene,wipes wipe moist wet patient cleansing fragrance-free,wipe,100,0.030,0.045,400,2,4.6,yes,Dermatologically tested / pH balanced,Fragrance-free. Thick 3-ply.
